LTE,510,10,9571,87180831,0,119.4499,-5.1585,1000,11,1,1458832190,1783587843,0
LTE,510,10,9571,87123733,0,119.435,-5.1587,2520,17,1,1458832190,1785454205,0
LTE,510,10,7248,79908885,0,116.8575,-1.2674,1000,10,1,1458832182,1758773936,0
LTE,510,10,7249,79893515,0,116.8669,-1.2452,1000,4,1,1449839391,1761643090,0
LTE,510,10,9981,87147029,0,119.4204,-5.1747,1000,15,1,1458832190,1786539661,0
LTE,510,10,7248,79919893,0,116.8535,-1.2713,1000,9,1,1458832182,1758773936,0
LTE,510,10,7248,79922453,0,116.8433,-1.2732,2803,11,1,1458832182,1758773936,0
LTE,510,10,9571,87041567,0,119.4462,-5.1597,3325,28,1,1458832189,1783587901,0
LTE,510,10,7248,79927829,0,116.855,-1.2713,1000,19,1,1458832182,1758773936,0
LTE,510,10,7249,79921163,0,116.8634,-1.2422,1806,18,1,1458832182,1761643091,0
LTE,510,10,7249,79923477,0,116.8749,-1.2423,3484,27,1,1458832182,1761643090,0
LTE,510,10,9571,87180811,0,119.4519,-5.1555,1000,7,1,1458832190,1783587843,0
LTE,510,10,9571,87067413,0,119.4454,-5.1636,500,34,1,1458832189,1785454205,0
LTE,510,10,9981,87069451,0,119.4331,-5.1754,1701,16,1,1458832190,1786505942,0
LTE,510,10,9571,87180821,0,119.4554,-5.1597,1299,7,1,1458832190,1765277641,0
LTE,510,10,7248,79927819,0,116.8561,-1.2694,1000,13,1,1458832182,1758773936,0
LTE,510,10,9571,87100939,0,119.4352,-5.1729,2205,15,1,1458832189,1785454203,0
LTE,510,10,9571,87043083,0,119.4345,-5.1681,1000,10,1,1458832189,1786505942,0
LTE,510,10,9571,87043103,0,119.4358,-5.1681,6216,26,1,1458832189,1786071241,0
LTE,510,10,9981,87147019,0,119.4199,-5.1703,3984,35,1,1458832190,1786539661,0
LTE,510,11,41003,107551748,0,106.827,-6.1481,718,50,1,1458832194,1746722581,0
LTE,510,11,41003,107566596,0,106.8336,-6.1477,1463,24,1,1458832194,1753374661,0
LTE,510,11,41003,107585028,0,106.8311,-6.1529,3058,13,1,1458832195,1746723902,0
LTE,510,11,41306,105024005,0,106.8502,-6.2068,6626,40,1,1458832198,1754967661,0
LTE,510,11,41306,105024006,0,106.86,-6.2218,6175,44,1,1458832198,1752156241,0
LTE,510,11,41003,107546116,0,106.8264,-6.1417,1000,13,1,1458832194,1754730482,0
LTE,510,11,41004,104975108,0,106.8327,-6.1779,1049,6,1,1458832195,1746744902,0
LTE,510,11,44005,117794052,0,106.8959,-6.3817,1000,22,1,1458832213,1755077523,0
LTE,510,11,47103,120349702,0,106.7457,-6.3164,1833,22,1,1458832219,1759193144,0
LTE,510,11,47103,120383237,0,106.7477,-6.3119,1000,18,1,1458832220,1759193162,0
LTE,510,11,47103,120367621,0,106.7582,-6.3044,4668,32,1,1458832220,1759193116,0
LTE,510,11,44005,115234565,0,106.9244,-6.3844,6064,24,1,1458832212,1755825841,0
LTE,510,11,46002,117765380,0,106.8056,-6.6112,3188,17,1,1458832215,1758706442,0
LTE,510,11,47103,120349701,0,106.7451,-6.32,7791,32,1,1458832219,1759193177,0
LTE,510,11,47103,120348932,0,106.755,-6.3108,1476,21,1,1458832219,1759193116,0
LTE,510,11,47103,120383236,0,106.7497,-6.289,8158,39,1,1458832220,1759193162,0
LTE,510,11,44005,115234566,0,106.9222,-6.38,1000,13,1,1458832212,1755825841,0
LTE,510,11,51004,130562054,0,107.6175,-6.9191,2074,30,1,1458832222,1762959961,0
LTE,510,11,47004,120376580,0,106.5592,-6.2208,7131,50,1,1458832218,1755519544,0
LTE,510,11,47103,120389124,0,106.7285,-6.312,7394,27,1,1458832220,1759193173,0
LTE,510,11,54014,138266372,0,112.7324,-7.2558,1000,11,1,1450604904,1751505722,0
LTE,510,11,54012,138241029,0,112.7409,-7.2684,4332,13,1,1458832227,1751505722,0
LTE,510,11,54012,138240772,0,112.7573,-7.264,1000,11,1,1458832227,1754545443,0
LTE,510,11,54012,138290949,0,112.7564,-7.2804,2215,13,1,1458832227,1754545443,0
LTE,510,11,51004,130562053,0,107.6184,-6.9229,582,50,1,1458832222,1762959961,0
LTE,510,11,51005,130625028,0,107.612,-6.9605,1000,8,1,1458832223,1755407522,0
LTE,510,11,51004,130580741,0,107.612,-6.9346,7771,28,1,1458832223,1762959961,0
LTE,510,11,51004,130580740,0,107.6155,-6.9292,1214,22,1,1458832222,1762959961,0
LTE,510,11,54012,138240774,0,112.7569,-7.2615,1000,8,1,1458832227,1754545443,0
LTE,510,11,54013,138292998,0,112.7498,-7.2528,1000,3,1,1458832227,1751421544,0
LTE,510,11,54013,138264324,0,112.7806,-7.25,5431,12,1,1458832227,1751421544,0
LTE,510,11,54014,138297094,0,112.7315,-7.2552,2827,22,1,1458832228,1751362862,0
LTE,510,11,54014,138297092,0,112.7344,-7.2519,2273,19,1,1458832228,1751362863,0
LTE,510,11,54012,138241797,0,112.7616,-7.2743,1000,7,1,1458832227,1754545443,0
LTE,510,11,54012,138241798,0,112.7586,-7.2697,1000,10,1,1458832227,1754545443,0
LTE,510,11,51009,130655749,0,107.5236,-6.8872,2575,17,1,1458832224,1755407041,0
LTE,510,11,51130,130629638,0,108.5424,-6.7421,1000,15,1,1458832226,1747657021,0
LTE,510,11,51004,130615814,0,107.601,-6.9093,500,50,1,1458832223,1750596361,0
LTE,510,11,51009,130655750,0,107.52,-6.8854,3895,19,1,1458832224,1755406981,0
LTE,510,11,54014,138241540,0,112.7405,-7.2605,1978,13,1,1458832228,1751505722,0
LTE,510,11,54013,138271750,0,112.7519,-7.2435,1000,8,1,1458832227,1751421544,0
GSM,510,10,9004,64182,0,122.028,-4.7582,2407,18,1,1459476618,1747188965,0
GSM,510,10,9004,44181,0,122.0364,-4.7647,1418,14,1,1459476618,1747188965,0
GSM,510,10,18725,41015,0,116.8226,-1.2775,1000,12,1,1464833226,1783773902,0
LTE,510,10,9571,87223839,0,119.4322,-5.1715,1000,2,1,1489107664,1785862441,0
GSM,510,10,18722,40615,0,116.8449,-1.1767,1367,25,1,1458923822,1776373142,0
GSM,510,10,18724,49385,0,116.8327,-1.2374,1235,16,1,1458923823,1789509196,0
